r/R,twist (deg)
0.1018173,34.97820401
0.143064,34.62946818
0.17740324,34.24585876
0.21171233,33.68788143
0.24598697,32.85091543
0.26648975,32.32781168
0.293844,31.6652136
0.32466706,30.75850044
0.38318889,29.04969486
0.46256231,26.67829119
0.58351833,22.80732345
0.69056037,19.31996513
0.76293158,17.19267655
0.80419551,16.07672188
0.84542499,14.9956408
0.88319858,14.05405405
0.91750336,13.21708806
0.94835226,12.55448997
