r/R,c/R
0.1018173,0.269528
0.143064,0.2583696
0.17740324,0.24773511
0.21171233,0.23588097
0.24598697,0.22263293
0.26648975,0.2121751
0.293844,0.19892827
0.32466706,0.18602931
0.38318889,0.17382247
0.46256231,0.16527099
0.58351833,0.1591516
0.69056037,0.15007258
0.76293158,0.13821181
0.80419551,0.12775036
0.84542499,0.11589501
0.88319858,0.1042145
0.91750336,0.09218612
0.94835226,0.08033258
